StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,Female,0,2,19.83,7,Yes,2,No,No,Yes,No,2.9292,2
1002,18,Male,0,1,15.41,0,No,1,No,No,No,No,3.0429,1
1003,15,Male,2,3,4.21,26,No,2,No,No,No,No,0.1126,4
1004,17,Female,0,3,10.03,14,No,3,Yes,No,No,No,2.0542,3
1005,17,Female,0,2,4.67,17,Yes,3,No,No,No,No,1.2881,4
1006,18,Male,0,1,8.19,0,No,1,Yes,No,No,No,3.0842,1
1007,15,Male,1,1,15.6,10,No,3,No,Yes,No,No,2.7482,2
1008,15,Female,1,4,15.42,22,Yes,1,Yes,No,No,No,1.3601,4
1009,17,Male,0,0,4.56,1,No,2,No,Yes,No,Yes,2.8968,2
1010,16,Female,0,1,18.44,0,No,3,Yes,No,No,No,3.5735,0
1011,17,Male,0,1,11.85,11,No,1,No,No,No,No,2.1472,3
1012,17,Male,0,1,7.6,15,No,2,No,No,No,Yes,1.5596,4
1013,17,Male,1,1,10.04,21,No,3,Yes,No,No,No,1.5201,4
1014,17,Male,1,2,12.1,21,No,4,No,Yes,No,No,1.7516,4
1015,18,Female,0,1,11.2,9,Yes,2,No,No,No,No,2.3968,3
1016,15,Male,0,2,9.73,17,Yes,0,No,Yes,No,No,1.3415,4
1017,18,Male,3,1,10.1,14,No,2,Yes,Yes,No,No,2.2322,3
1018,18,Female,0,0,3.53,16,Yes,2,No,No,No,No,1.3844,4
1019,18,Male,1,3,16.25,29,No,2,Yes,No,No,Yes,0.4696,4
1020,17,Male,0,1,10.84,9,No,2,No,No,Yes,No,2.3958,3
1021,16,Female,0,3,2.62,2,No,3,No,No,No,Yes,2.7784,2
1022,15,Male,0,2,15.32,25,No,1,Yes,No,No,No,0.3469,4
1023,16,Female,1,0,18.65,29,Yes,1,No,No,No,No,0.3125,4
1024,18,Female,3,4,18.95,20,No,2,Yes,No,No,No,1.7701,4
1025,18,Female,0,1,7.38,15,No,2,No,No,No,No,1.5052,4
1026,16,Female,0,3,2.71,5,No,4,No,No,Yes,No,2.9779,2
1027,16,Male,0,1,10.37,2,No,2,No,Yes,No,No,2.9487,2
1028,16,Female,0,3,2.25,8,No,3,No,No,Yes,No,2.1452,3
1029,18,Male,0,0,18.68,10,No,3,Yes,No,No,No,2.8548,2
1030,18,Male,0,2,3.67,20,No,3,Yes,No,No,No,1.5194,4
1031,15,Male,2,2,5.06,12,Yes,0,No,Yes,No,No,1.7271,4
1032,15,Male,0,3,8.13,17,No,4,No,No,No,Yes,1.8475,4
1033,18,Male,0,3,7.66,25,No,1,No,Yes,No,No,0.3846,4
1034,16,Male,3,3,15.89,21,No,0,Yes,Yes,No,No,0.9494,4
1035,16,Male,0,3,9.13,27,Yes,2,Yes,Yes,No,No,1.141,4
1036,15,Male,3,1,3.42,23,No,1,No,No,No,No,0.2615,4
1037,18,Male,0,1,5.34,26,Yes,1,No,No,No,No,0.2183,4
1038,15,Male,2,1,10.18,21,Yes,1,No,Yes,No,No,1.0678,4
1039,15,Female,1,1,2.95,3,Yes,1,Yes,Yes,No,No,3.0189,1
1040,17,Female,2,1,12.23,21,Yes,3,Yes,Yes,No,No,1.5269,4
1041,17,Female,3,2,11.31,23,Yes,1,No,No,No,No,1.0583,4
1042,17,Male,0,1,14.29,7,No,2,No,No,No,No,2.6251,2
1043,16,Female,3,2,18.75,12,Yes,4,No,No,No,No,2.8088,2
1044,18,Female,0,1,18.25,9,No,2,No,Yes,No,No,2.8889,2
1045,18,Female,0,1,18.92,1,Yes,3,Yes,Yes,No,No,4.0,0
1046,18,Male,0,2,4.89,7,No,4,No,No,Yes,No,2.5153,2
1047,18,Male,1,2,2.63,5,No,1,Yes,No,No,No,2.5638,2
1048,17,Male,0,2,6.05,15,No,2,No,No,No,No,1.7036,4
1049,16,Male,1,2,17.9,17,No,3,No,No,Yes,No,2.0999,3
1050,16,Female,1,1,19.44,16,No,4,Yes,No,No,No,2.461,3
1051,17,Female,2,2,17.19,5,No,3,No,No,No,No,2.9355,2
1052,16,Female,2,0,2.2,12,Yes,1,Yes,No,Yes,No,1.9864,4
1053,17,Female,0,1,18.95,22,No,4,No,No,Yes,No,1.5715,4
1054,18,Male,0,2,8.47,13,No,1,No,Yes,No,No,1.6643,4
1055,17,Male,0,0,0.19,29,Yes,2,Yes,Yes,No,No,0.7563,4
1056,18,Male,0,1,8.85,25,No,2,No,Yes,No,No,0.8028,4
1057,18,Female,0,4,0.92,20,No,2,No,Yes,Yes,No,1.3424,4
1058,15,Male,0,4,10.88,29,No,3,Yes,No,No,No,0.2866,4
1059,17,Male,0,1,6.77,9,Yes,3,No,Yes,No,No,2.6138,2
1060,15,Female,3,0,9.47,23,No,3,No,Yes,No,No,0.929,4
1061,17,Female,1,1,12.26,10,No,0,Yes,No,Yes,No,1.8928,4
1062,17,Male,0,1,17.38,12,No,2,No,No,Yes,No,2.3313,3
1063,15,Male,1,3,13.24,11,No,3,No,Yes,No,No,2.2342,3
1064,15,Male,0,1,8.68,8,No,2,No,Yes,No,No,2.3858,3
1065,17,Male,0,2,16.39,3,Yes,4,No,No,No,No,3.3474,1
1066,16,Male,1,1,18.11,6,Yes,3,Yes,No,No,No,3.2619,1
1067,18,Male,0,4,2.4,23,No,3,No,Yes,No,No,1.0396,4
1068,15,Female,0,1,10.64,28,No,0,No,Yes,No,No,0.0278,4
1069,18,Female,3,2,5.69,21,Yes,3,No,No,Yes,No,1.33,4
1070,16,Female,2,1,0.94,1,No,4,No,No,Yes,No,3.2839,1
1071,16,Male,1,2,13.37,6,No,2,Yes,No,No,No,2.9375,2
1072,16,Female,1,1,17.26,28,No,3,No,No,Yes,Yes,0.7389,4
1073,15,Male,1,1,3.26,8,No,2,Yes,Yes,No,No,2.5568,2
1074,16,Male,0,3,16.25,4,Yes,2,No,No,No,No,3.3009,1
1075,15,Female,0,3,17.07,14,No,3,Yes,No,Yes,No,2.2007,3
1076,16,Male,0,3,18.29,17,No,3,No,Yes,No,No,1.8559,4
